skill_name,folder_name,source_repo,category,description,file_count,archive_path
causal-genomics,causal-genomics,bioclaw_hub,genomics,"Workflow for fine-mapping, colocalization, mediation, pleiotropy analysis, and Mendelian randomization.",4,bioclaw_hub/multi-omics-and-systems/causal-genomics
cell-communication,cell-communication,bioclaw_hub,single-cell,Workflow for ligand-receptor communication inference in single-cell or spatial data with sender-receiver summaries and cautious interpretation.,4,bioclaw_hub/single-cell-and-spatial/cell-communication
cell-free-protein-expression,cell-free-protein-expression,bioclaw_hub,transcriptomics,>,2,bioclaw_hub/protein-design/skills/cell-free-protein-expression
chai1-structure-prediction,chai1-structure-prediction,bioclaw_hub,proteomics,>,4,bioclaw_hub/protein-design/skills/chai1-structure-prediction
comparative-genomics,comparative-genomics,bioclaw_hub,genomics,"Workflow for orthology, synteny, ancestral reconstruction, and evolutionary comparison across genomes.",4,bioclaw_hub/genomics-and-variation/comparative-genomics
copy-number,copy-number,bioclaw_hub,genomics,"Workflow for copy-number estimation, segmentation, annotation, and visualization in sequencing-based assays.",4,bioclaw_hub/genomics-and-variation/copy-number
database-access,database-access,bioclaw_hub,multi-omics,"Workflow for retrieving public omics datasets, sequences, annotations, and literature-linked biological resources.",4,bioclaw_hub/core-bioinformatics/database-access
ehr-analysis,ehr-analysis,bioclaw_hub,clinical,"End-to-end EHR predictive modeling pipeline with PyHealth, covering dataset loading, task definition, model training, evaluation, calibration, and clinical interpretation.",5,bioclaw_hub/ehr-analysis
end-to-end-protein-design-workflow,end-to-end-protein-design-workflow,bioclaw_hub,proteomics,>,5,bioclaw_hub/protein-design/skills/end-to-end-protein-design-workflow
epitranscriptomics,epitranscriptomics,bioclaw_hub,genomics,"Workflow for RNA modification analysis such as m6A peak calling, differential modification, and transcript-level visualization.",4,bioclaw_hub/epigenomics-and-regulation/epitranscriptomics
esm2-sequence-scoring,esm2-sequence-scoring,bioclaw_hub,proteomics,>,2,bioclaw_hub/protein-design/skills/esm2-sequence-scoring
gene-regulatory-networks,gene-regulatory-networks,bioclaw_hub,genomics,"Workflow for regulatory network inference, regulon scoring, perturbation-aware comparison, and network visualization.",4,bioclaw_hub/epigenomics-and-regulation/gene-regulatory-networks
genome-assembly,genome-assembly,bioclaw_hub,genomics,"Workflow for de novo assembly, scaffolding, polishing, contamination review, and assembly QC.",4,bioclaw_hub/genomics-and-variation/genome-assembly
hi-c-3d-genomics,hi-c-3d-genomics,bioclaw_hub,genomics,"Workflow for Hi-C and related 3D genomics analyses including compartments, loops, TADs, differential contacts, and visualization.",4,bioclaw_hub/epigenomics-and-regulation/hi-c-3d-genomics
imaging-mass-cytometry,imaging-mass-cytometry,bioclaw_hub,proteomics,"Workflow for multiplexed imaging or IMC segmentation, phenotyping, and spatial summarization.",4,bioclaw_hub/proteomics-and-metabolomics/imaging-mass-cytometry
long-read-genomics,long-read-genomics,bioclaw_hub,genomics,"Workflow for nanopore or PacBio long-read QC, alignment, polishing, methylation-aware analysis, and structural variant discovery.",4,bioclaw_hub/genomics-and-variation/long-read-genomics
machine-learning-for-omics,machine-learning-for-omics,bioclaw_hub,multi-omics,"Workflow for predictive modeling, biomarker discovery, survival modeling, and explainability over omics-derived features.",4,bioclaw_hub/multi-omics-and-systems/machine-learning-for-omics
metabolomics,metabolomics,bioclaw_hub,genomics,"Workflow for untargeted or targeted metabolomics including preprocessing, normalization, annotation, statistics, and pathway mapping.",4,bioclaw_hub/proteomics-and-metabolomics/metabolomics
methylation-analysis,methylation-analysis,bioclaw_hub,genomics,"Workflow for methylation alignment or calling, DMR analysis, methylation QC, and locus-level interpretation.",4,bioclaw_hub/epigenomics-and-regulation/methylation-analysis
microbiome-amplicon,microbiome-amplicon,bioclaw_hub,genomics,"Workflow for amplicon microbiome analysis including denoising, taxonomy assignment, diversity analysis, and differential abundance.",4,bioclaw_hub/metagenomics-and-microbiome/microbiome-amplicon
multi-omics-integration,multi-omics-integration,bioclaw_hub,proteomics,Workflow for integrating matched or partially matched omics layers into shared latent structure and cross-modal interpretation.,4,bioclaw_hub/multi-omics-and-systems/multi-omics-integration
multiome-scatac,multiome-scatac,bioclaw_hub,single-cell,Workflow for paired or integrated single-cell RNA and ATAC analysis with multimodal latent spaces and regulatory interpretation.,4,bioclaw_hub/single-cell-and-spatial/multiome-scatac
pathogen-epi-genomics,pathogen-epi-genomics,bioclaw_hub,genomics,"Workflow for outbreak-style pathogen genomics, surveillance, lineage assignment, and transmission-oriented comparative analysis.",4,bioclaw_hub/metagenomics-and-microbiome/pathogen-epi-genomics
pathway-analysis,pathway-analysis,bioclaw_hub,multi-omics,"Workflow for enrichment testing, ranked-gene analysis, pathway scoring, and pathway-focused visualization across omics outputs.",4,bioclaw_hub/multi-omics-and-systems/pathway-analysis
phasing-imputation,phasing-imputation,bioclaw_hub,genomics,"Workflow for haplotype phasing, genotype imputation, reference-panel matching, and imputation QC.",4,bioclaw_hub/genomics-and-variation/phasing-imputation
protein-design-qc,protein-design-qc,bioclaw_hub,proteomics,>,7,bioclaw_hub/protein-design/skills/protein-design-qc
proteina-complexa,proteina-complexa,bioclaw_hub,proteomics,>,4,bioclaw_hub/protein-design/skills/proteina-complexa
read-qc,read-qc,bioclaw_hub,genomics,"Workflow for sequencing read QC, trimming, contamination screening, and pre-alignment cleanup.",4,bioclaw_hub/core-bioinformatics/read-qc
reporting-and-figure-export,reporting-and-figure-export,bioclaw_hub,visualization,"Workflow for packaging analysis outputs into reproducible reports, clean tables, and publication-ready figure exports.",4,bioclaw_hub/core-bioinformatics/reporting-and-figure-export
ribo-seq,ribo-seq,bioclaw_hub,transcriptomics,"Workflow for ribosome profiling, P-site aware preprocessing, periodicity checks, ORF detection, and translation efficiency analysis.",4,bioclaw_hub/transcriptomics/ribo-seq
rna-quantification,rna-quantification,bioclaw_hub,genomics,Workflow for gene and transcript quantification from RNA-seq reads using alignment-based or alignment-free tools.,4,bioclaw_hub/transcriptomics/rna-quantification
sequence-and-format-io,sequence-and-format-io,bioclaw_hub,workflow,"Workflow for foundational sequence parsing, conversion, compression handling, and interval-aware file validation.",4,bioclaw_hub/core-bioinformatics/sequence-and-format-io
small-rna-seq,small-rna-seq,bioclaw_hub,transcriptomics,"Workflow for small RNA and miRNA preprocessing, quantification, differential analysis, and target-oriented interpretation.",4,bioclaw_hub/transcriptomics/small-rna-seq
spatial-transcriptomics,spatial-transcriptomics,bioclaw_hub,single-cell,"Workflow for spatial transcriptomics preprocessing, domain detection, deconvolution, neighborhood analysis, and publication-ready maps.",4,bioclaw_hub/single-cell-and-spatial/spatial-transcriptomics
spr-bli-binding-characterization,spr-bli-binding-characterization,bioclaw_hub,proteomics,>,2,bioclaw_hub/protein-design/skills/spr-bli-binding-characterization
systems-biology,systems-biology,bioclaw_hub,multi-omics,"Workflow for constraint-based metabolic modeling, context-specific models, gene essentiality, and systems-level interpretation.",4,bioclaw_hub/multi-omics-and-systems/systems-biology
trajectory-lineage,trajectory-lineage,bioclaw_hub,single-cell,"Workflow for pseudotime, lineage branching, and state-transition analysis in single-cell data.",4,bioclaw_hub/single-cell-and-spatial/trajectory-lineage
variant-calling,variant-calling,bioclaw_hub,genomics,"Workflow for small-variant and structural-variant discovery, filtering, annotation, and interpretation from sequencing data.",4,bioclaw_hub/genomics-and-variation/variant-calling
workflow-management,workflow-management,bioclaw_hub,multi-omics,Workflow for orchestrating reproducible omics pipelines with workflow engines and clear execution provenance.,4,bioclaw_hub/core-bioinformatics/workflow-management
bio-admet-prediction,admet-prediction,bioskills,clinical,"Predicts ADMET properties using ADMETlab 3.0 (119 endpoints with uncertainty), ADMET-AI, DeepChem MolNet, and chemprop D-MPNN with explicit handling of OECD QSAR principles, applicability domain assessment, calibration, hERG/CYP/AMES gold-standard endpoints, and PAINS / Lipinski / Ro5 / Veber / BBB druglikeness filters. Use when filtering compounds for drug-likeness, prioritizing leads by predicted safety, or building an in-house ADMET QSAR model.",4,bioskills/chemoinformatics/admet-prediction
bio-alignment-amplicon-clipping,alignment-amplicon-clipping,bioskills,genomics,"Trim PCR primers from aligned reads in amplicon-panel BAMs using samtools ampliconclip. Use when processing SARS-CoV-2 ARTIC, hereditary cancer panels, ctDNA hot-spot panels, or any amplicon assay where primer-derived bases would falsely confirm reference at primer footprints.",4,bioskills/alignment-files/alignment-amplicon-clipping
bio-alignment-filtering,alignment-filtering,bioskills,genomics,"Filter alignments by flags, mapping quality, and regions using samtools view and pysam. Use when extracting specific reads, removing low-quality alignments, or subsetting to target regions.",4,bioskills/alignment-files/alignment-filtering
bio-alignment-indexing,alignment-indexing,bioskills,genomics,Create and use BAI/CSI indices for BAM/CRAM files using samtools and pysam. Use when enabling random access to alignment files or fetching specific genomic regions.,4,bioskills/alignment-files/alignment-indexing
bio-alignment-io,alignment-io,bioskills,genomics,"Read, write, and convert multiple sequence alignment files using Biopython Bio.AlignIO. Supports Clustal, PHYLIP, Stockholm, FASTA, Nexus, and other alignment formats for phylogenetics and conservation analysis. Use when reading, writing, or converting alignment file formats.",8,bioskills/alignment/alignment-io
bio-alignment-msa-parsing,msa-parsing,bioskills,genomics,"Parse and analyze multiple sequence alignments using Biopython. Extract sequences, identify conserved regions, analyze gaps, work with annotations, and manipulate alignment data for downstream analysis. Use when parsing or manipulating multiple sequence alignments.",12,bioskills/alignment/msa-parsing
bio-alignment-msa-statistics,msa-statistics,bioskills,genomics,"Calculate alignment statistics including sequence identity, conservation scores, substitution matrices, and similarity metrics. Use when comparing alignment quality, measuring sequence divergence, and analyzing evolutionary patterns.",11,bioskills/alignment/msa-statistics
bio-alignment-multiple,multiple-alignment,bioskills,genomics,"Perform multiple sequence alignment using MAFFT, MUSCLE5, ClustalOmega, or T-Coffee. Guides tool and algorithm selection based on dataset size, sequence divergence, and downstream application. Use when aligning three or more homologous sequences for phylogenetics, conservation analysis, or evolutionary studies.",5,bioskills/alignment/multiple-alignment
bio-alignment-pairwise,pairwise-alignment,bioskills,genomics,"Perform pairwise sequence alignment using Biopython Bio.Align.PairwiseAligner. Use when comparing two sequences, finding optimal alignments, scoring similarity, and identifying local or global matches between DNA, RNA, or protein sequences.",8,bioskills/alignment/pairwise-alignment
bio-alignment-sorting,alignment-sorting,bioskills,genomics,"Sort alignment files by coordinate or read name using samtools and pysam. Use when preparing BAM files for indexing, variant calling, or paired-end analysis.",4,bioskills/alignment-files/alignment-sorting
bio-alignment-structural,structural-alignment,bioskills,genomics,"Align protein structures using Foldseek 3Di, TM-align, US-align, DALI, or Foldmason for structural MSA. Predict, score, and superpose backbone coordinates when sequence identity is below the twilight zone or remote-homology detection is required. Use when sequence MSA fails (<25% identity), when the dark proteome is the target, when AlphaFoldDB / ESM Atlas search is needed, or when structural superposition is the goal.",7,bioskills/alignment/structural-alignment
bio-alignment-trimming,alignment-trimming,bioskills,genomics,"Trim multiple sequence alignments using ClipKIT, trimAl, BMGE, Divvier, or HMMcleaner with mode selection guidance per downstream goal. Use when removing unreliable columns or contaminating residues before phylogenetic inference, HMM building, or selection analysis.",7,bioskills/alignment/alignment-trimming
bio-alignment-validation,alignment-validation,bioskills,genomics,"Validate alignment quality with insert size distribution, proper pairing rates, GC bias, strand balance, and other post-alignment metrics. Use when verifying alignment data quality before variant calling or quantification.",5,bioskills/alignment-files/alignment-validation
bio-atac-seq-allele-specific-accessibility,allele-specific-accessibility,bioskills,genomics,"Detect allele-specific chromatin accessibility from ATAC-seq using WASP, GATK ASEReadCounter, or RASQUAL. Use when mapping cis-regulatory genetic variants from heterozygous SNPs, separating cis from trans regulation, building chromatin QTL (caQTL) maps, validating GWAS variant function with allelic imbalance, or detecting reference allele mapping bias before downstream analysis.",4,bioskills/atac-seq/allele-specific-accessibility
bio-atac-seq-atac-peak-calling,atac-peak-calling,bioskills,genomics,"Call accessible chromatin regions from ATAC-seq BAM files using MACS3, MACS2, Genrich, or HMMRATAC. Use when identifying open chromatin from aligned ATAC-seq, choosing between point-source vs HMM peak callers, applying ENCODE-style pseudoreplicate IDR, removing blacklist regions, or fixing 501bp consensus peaks for downstream differential analysis.",4,bioskills/atac-seq/atac-peak-calling
bio-atac-seq-atac-qc,atac-qc,bioskills,epigenomics,"ATAC-seq library quality control -- TSS enrichment, FRiP, fragment-size periodicity, library complexity (NRF/PBC1/PBC2), mitochondrial fraction, and ENCODE 4 thresholds. Use when assessing whether an ATAC-seq library passes ENCODE acceptance criteria, diagnosing transposition artefacts, comparing Omni-ATAC vs standard prep quality, or selecting which replicates to drop before peak calling.",4,bioskills/atac-seq/atac-qc
bio-atac-seq-co-accessibility,co-accessibility,bioskills,single-cell,"Infer cis-regulatory connections (peak-to-peak co-accessibility) from scATAC-seq using Cicero, ArchR getCoAccessibility, or SCENIC+. Use when linking enhancer accessibility to promoter accessibility, identifying enhancer-gene pairs from chromatin alone (without paired RNA), running gene-regulatory inference combining ATAC + RNA, or comparing predicted regulatory contacts against Hi-C/Micro-C ground truth.",4,bioskills/atac-seq/co-accessibility
bio-atac-seq-consensus-peakset,consensus-peakset,bioskills,genomics,"Build a differential-ready consensus peakset from per-replicate ATAC-seq peaks using iterative overlap removal, fixed-width re-centering, and majority-rule overlap. Use when generating a stable peak coordinate system for downstream differential accessibility, ML feature engineering, cross-sample comparison, or fixed-width peak counts; covers Corces 2018 iterative overlap (501 bp), DiffBind summit re-centering, and ENCODE consistency rules.",4,bioskills/atac-seq/consensus-peakset
bio-atac-seq-deep-learning-atac,deep-learning-atac,bioskills,single-cell,"Sequence-based deep learning for ATAC-seq using chromBPNet, BPNet, scBasset, or EnFormer. Use when correcting Tn5 bias with neural networks beyond k-mer models, predicting per-base accessibility profiles, scoring in silico variant effects at GWAS or rare-variant SNPs, discovering motifs via DeepLIFT/TF-MoDISco from a trained model, or generating cell-type-specific accessibility predictions for unobserved cell states.",4,bioskills/atac-seq/deep-learning-atac
bio-atac-seq-differential-accessibility,differential-accessibility,bioskills,transcriptomics,"Identify differentially accessible chromatin regions across conditions using DiffBind, csaw, DESeq2, or edgeR. Use when comparing ATAC-seq accessibility between treatment groups, choosing between consensus-peak vs sliding-window approaches, picking the correct normalization (full library vs reads-in-peaks), correcting batch with SVA/RUVseq, or interpreting log2FC and FDR thresholds in a chromatin context.",4,bioskills/atac-seq/differential-accessibility
bio-atac-seq-enhancer-gene-linking,enhancer-gene-linking,bioskills,single-cell,"Predict enhancer-gene regulatory connections from ATAC-seq using ABC, ENCODE-rE2G, HiChIP, or Cicero. Use when linking distal enhancers to target genes, choosing between contact-aware (ABC, ENCODE-rE2G), accessibility-only (Cicero), and orthogonal (HiChIP H3K27ac, EpiMap) approaches, validating predictions against CRISPRi-FlowFISH gold-standard, or building cell-type-specific regulatory maps for fine-mapping or therapeutic target discovery.",4,bioskills/atac-seq/enhancer-gene-linking
bio-atac-seq-footprinting,footprinting,bioskills,epigenomics,"Detect transcription factor binding footprints in ATAC-seq using TOBIAS, HINT-ATAC, Wellington, or scprinter. Use when identifying bound TF sites within accessible regions, correcting Tn5 insertion bias before footprinting, choosing between cleavage-based and aggregate-based footprinters, or comparing differential TF activity between conditions.",4,bioskills/atac-seq/footprinting
bio-atac-seq-motif-deviation,motif-deviation,bioskills,single-cell,"Analyze TF motif accessibility variability across samples or single cells using chromVAR. Use when identifying TF motifs whose accessibility correlates with conditions, computing per-sample motif z-scores after matched background correction, comparing to ArchR / Signac equivalents, or distinguishing motif-accessibility signal from per-site footprinting.",4,bioskills/atac-seq/motif-deviation
bio-atac-seq-nucleosome-positioning,nucleosome-positioning,bioskills,proteomics,"Map nucleosome center positions, occupancy, and fuzziness from ATAC-seq fragment-size patterns using NucleoATAC, ATACseqQC, DANPOS3, or scprinter. Use when characterizing nucleosome organization at promoters and enhancers, calling +1/-1 nucleosomes flanking NFRs, generating V-plots for chromatin structure visualization, or comparing nucleosome positioning between conditions.",4,bioskills/atac-seq/nucleosome-positioning
bio-atac-seq-single-cell-atac,single-cell-atac,bioskills,single-cell,"Process and analyze single-cell ATAC-seq data with Signac, ArchR, SnapATAC2, or Cell Ranger ATAC. Use when handling 10X scATAC or 10X Multiome (paired RNA+ATAC) data, performing per-cell QC, choosing between ArchR/Signac/SnapATAC2 ecosystems, building per-cluster consensus peaksets, integrating with paired scRNA-seq, doublet detection (AMULET vs ArchR vs scDblFinder), or running pseudobulk differential accessibility per cluster.",4,bioskills/atac-seq/single-cell-atac
bio-bam-statistics,bam-statistics,bioskills,genomics,"Generate alignment statistics using samtools flagstat, stats, depth, coverage, and mosdepth. Use when assessing alignment quality, calculating coverage, or generating QC reports.",4,bioskills/alignment-files/bam-statistics
bio-basecalling,basecalling,bioskills,genomics,"""Convert raw Nanopore signal data (FAST5/POD5) to nucleotide sequences using Dorado basecaller. Covers model selection, GPU acceleration, modified base detection, and quality filtering. Use when processing raw Nanopore data before alignment. Note: Guppy is deprecated; use Dorado for all new analyses.""",5,bioskills/long-read-sequencing/basecalling
bio-batch-downloads,batch-downloads,bioskills,database-query,"Download large datasets from NCBI efficiently using EPost, history server, batching, rate limiting, and retry logic. Use when bulk-fetching tens of thousands of sequences, pulling all results of a large ESearch, designing reproducible pipelines, comparing E-utilities to NCBI Datasets v2 CLI, or implementing checksum-validated downloads. Encodes WebEnv TTL (~8h), EPost 200-ID limit, retmax caps, parallelization design, and integrity verification.",6,bioskills/database-access/batch-downloads
